update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,kl,success_rate,clip_fraction,approx_kl_k3,sigma_mean,mean_log_std,boundary_fraction,return_mean,return_std,return_min,return_max
21,2688,62.05118083935097,54,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831,500.0,0.0,500.0,500.0,10.282760620117188,0.029417898505926132,-0.010795175097882748,0.0001037119363900274,19.806736402887296,0.04612579569220543,0.0,0.03937007859349251,0.004522382747381926,1.0519434368897767,0.05063739206109728,0.341795539147907,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831
22,2816,63.42960592237067,56,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831,500.0,0.0,500.0,500.0,10.29863166809082,0.05412013828754425,-0.013483868911862373,1.2301481547183357e-05,22.416950133729355,0.08069664984941483,0.0,0.0,0.00036522920709103346,1.0541871348022833,0.052767974457570484,0.34282394948897515,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831
23,2944,61.888577924235236,58,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831,500.0,0.0,500.0,500.0,10.311164855957031,0.06182654947042465,-0.015260525047779083,0.00027930940268561244,15.36575989213057,0.037699144333601,0.0,0.0,0.00043975445441901684,1.055995194742822,0.0544815542442458,0.343650916470119,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831
24,3072,62.7937629514036,60,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314,500.0,0.0,500.0,500.0,10.323043823242188,0.005520252976566553,-0.002284940332174301,0.0034062149934470654,24.212300758561387,0.051317837089300156,0.0,0.03937007859349251,0.003955058287829161,1.0577668799275086,0.056157814604895454,0.3444597314183267,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314
25,3200,61.74619890667998,62,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314,500.0,0.0,500.0,500.0,10.333113670349121,-0.0046862466260790825,-0.01947885751724243,0.0007534375181421638,16.741600839014584,0.03986532241106033,0.0,0.0,0.000445766665507108,1.0592354759587979,0.05754521968109267,0.34512906334239585,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314
26,3328,62.266593397875745,64,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314,500.0,0.0,500.0,500.0,10.343143463134766,0.04692929983139038,-0.01777627505362034,0.0005527101457118988,21.350031575181372,0.04077254235744476,0.0,0.007874015718698502,0.0022118715569376945,1.0607608399550859,0.05898419075778553,0.34582316418918874,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314
27,3456,62.18563504656762,66,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314,500.0,0.0,500.0,500.0,10.352272033691406,0.06875796616077423,-0.01575060747563839,9.354691428598017e-05,20.756505520139047,0.04068244993686676,0.0,0.0,0.000495673157274723,1.0621081681636781,0.060253504131521494,0.346435337653419,0.7105629444122314,0.0,0.7105629444122314,0.7105629444122314
28,3584,62.14536784723797,68,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025,500.0,0.0,500.0,500.0,10.360748291015625,0.050248004496097565,-0.018845807760953903,0.0028850294183939695,17.40976693309566,0.029614068567752838,0.0,0.0,0.00020958497771061957,1.0633826036209284,0.06145261228084564,0.34701356805159117,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025
29,3712,62.424215349979995,71,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025,500.0,0.0,500.0,500.0,10.3687744140625,0.03784160688519478,-0.007756256498396397,0.0004852019192185253,20.432627133538205,0.033579807728528976,0.0,0.0,0.0002232489932794124,1.064578488483461,0.06257647169487816,0.3475554373330385,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025
30,3840,63.08749366329406,73,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025,500.0,0.0,500.0,500.0,10.376126289367676,0.030810369178652763,-0.014532577246427536,0.00046972729614935815,15.628517987348554,0.022345315665006638,0.0,0.0,5.9138335927855223e-05,1.0656834800095998,0.06361381283828191,0.3480555293869148,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025
31,3968,62.07941484697676,75,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025,500.0,0.0,500.0,500.0,10.383602142333984,0.04428360238671303,-0.017515357583761215,0.00016030472761485726,20.753222546550152,0.033848974853754044,0.0,0.0,4.968922439729795e-05,1.066821851317736,0.06468137513313975,0.34857012641810325,0.8335325717926025,0.0,0.8335325717926025,0.8335325717926025
32,4096,62.08457651838492,77,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109,500.0,0.0,500.0,500.0,10.390829086303711,0.03927374631166458,0.0007853711722418666,0.00014785148960072547,12.490398439074646,0.014059530571103096,0.0,0.0,3.7684232665924355e-05,1.067941930805251,0.0657306792480605,0.3490758577975917,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109
33,4224,61.304003257543975,79,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109,500.0,0.0,500.0,500.0,10.400768280029297,0.03168141469359398,-0.008213618770241737,0.00028483764617703855,23.043967060313573,0.04190107434988022,0.0,0.0,0.00012428368791006505,1.0695378460202627,0.06722390971013478,0.34979543803078933,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109
34,4352,62.51866543540106,81,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109,500.0,0.0,500.0,500.0,10.410318374633789,0.034843768924474716,-0.014592522755265236,0.00023952184710651636,11.325950129302809,0.013322869315743446,0.0,0.0,3.0016921300557442e-05,1.0709980236866372,0.06858810782432556,0.35045271530786193,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109
35,4480,61.822207477541454,83,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109,500.0,0.0,500.0,500.0,10.42159652709961,0.061356693506240845,-0.018163608387112617,2.0394145394675434e-05,21.305377056656884,0.03886978328227997,0.0,0.0,0.00021416564413812011,1.0727617301185777,0.07023347807782036,0.3512453138776822,0.9951992034912109,0.0,0.9951992034912109,0.9951992034912109
36,4608,63.841465762460494,86,0.6944866180419922,0.0,0.6944866180419922,0.6944866180419922,500.0,0.0,500.0,500.0,10.432079315185547,0.04527932405471802,0.007568242959678173,0.00030326179694384336,10.044817867687868,0.012192987836897373,0.0,0.0,5.107989636599086e-05,1.0743678542355055,0.07172949612140656,0.3519658194781849,0.6944866180419922,0.0,0.6944866180419922,0.6944866180419922
